"","aircraft","helicopter","tank","APC","field.artillery","MRL","drone","naval.ship","anti.aircraft.warfare","special.equipment","vehicles.and.fuel.tanks","cruise.missiles","personnel"
"2022-10-06",0,0,14,26,10,3,15,0,0,2,13,0,330
"2022-10-07",0,1,17,29,31,0,20,0,0,1,8,0,350
"2022-10-08",0,1,6,18,4,1,12,0,3,1,13,0,380
"2022-10-09",0,1,14,22,18,3,7,0,0,0,15,1,440
"2022-10-10",1,0,9,16,9,5,11,0,1,0,18,2,370
"2022-10-11",1,0,9,13,10,0,17,0,0,0,8,46,240
"2022-10-12",0,0,1,19,11,2,15,0,1,0,11,20,270
"2022-10-13",0,5,6,-14,49,2,53,1,1,4,8,1,420
"2022-10-14",0,0,10,5,10,5,17,0,3,2,9,0,500
"2022-10-15",0,2,3,7,16,3,11,0,0,0,7,0,400
"2022-10-16",0,0,5,14,7,0,14,0,0,1,8,0,300
"2022-10-17",0,0,8,12,10,1,17,0,1,1,10,0,320
"2022-10-18",0,0,11,14,23,6,35,0,1,0,16,2,530
"2022-10-19",1,0,6,16,15,0,10,0,1,2,14,5,430
"2022-10-20",0,1,13,20,9,0,25,0,0,1,6,6,370
"2022-10-21",0,0,6,3,2,0,14,0,0,0,1,0,100
"2022-10-22",1,0,6,8,5,1,16,0,0,1,15,0,320
"2022-10-23",0,2,5,18,14,1,20,0,0,0,18,21,400
"2022-10-24",0,0,6,11,6,1,9,0,0,1,5,0,470
"2022-10-25",1,3,21,26,1,2,2,0,1,0,10,0,480
"2022-10-26",0,0,17,30,12,2,7,0,2,0,22,0,480
"2022-10-27",0,1,3,13,4,0,19,0,0,1,2,1,320
"2022-10-28",1,2,9,14,8,0,3,0,0,1,10,0,480
"2022-10-29",1,1,19,23,10,1,5,0,3,1,19,0,550
"2022-10-30",1,0,13,52,16,3,6,0,2,2,13,1,950
"2022-10-31",1,1,14,32,4,0,1,0,0,0,8,0,620
"2022-11-01",1,4,12,16,2,0,2,0,0,0,15,45,650
"2022-11-02",1,1,16,24,3,4,23,0,1,0,10,0,800
"2022-11-03",0,0,20,27,22,3,4,0,0,1,9,0,730
"2022-11-04",0,0,16,28,17,1,8,0,3,0,12,0,840
"2022-11-05",0,2,8,21,4,0,12,0,1,0,10,2,600
"2022-11-06",0,0,7,10,5,0,3,0,0,0,7,0,490
"2022-11-07",0,0,6,19,1,0,7,0,0,2,8,0,530
"2022-11-08",1,0,15,24,9,0,4,0,1,2,17,0,710
"2022-11-09",0,0,15,12,11,2,7,0,2,0,11,0,780
"2022-11-10",0,0,3,16,3,0,16,0,0,0,15,0,740
"2022-11-11",0,1,10,14,12,0,6,0,0,0,17,0,710
"2022-11-12",0,0,24,34,12,0,1,0,0,1,20,0,810
"2022-11-13",0,0,2,12,8,0,1,0,1,0,16,0,650
"2022-11-14",0,0,8,6,2,0,2,0,0,0,21,0,510
"2022-11-15",0,0,13,25,11,0,2,0,2,0,35,0,710
"2022-11-16",0,0,10,24,10,0,14,0,1,0,9,75,630
"2022-11-17",0,0,7,7,0,0,6,0,0,0,2,0,400
"2022-11-18",0,0,1,4,5,0,5,0,0,1,4,6,350
"2022-11-19",0,0,6,7,2,0,0,0,0,0,2,0,420
"2022-11-20",0,0,1,2,1,0,1,0,0,0,3,0,330
"2022-11-21",0,0,6,5,2,0,0,0,0,0,7,0,390
"2022-11-22",0,0,3,5,12,2,0,0,0,0,15,0,400
"2022-11-23",0,0,2,5,5,0,0,0,0,0,3,0,410
"2022-11-24",0,0,1,5,2,0,10,0,0,0,4,51,310
"2022-11-25",0,0,1,7,6,0,6,0,0,2,4,0,430
"2022-11-26",0,0,2,4,1,0,1,0,0,0,2,0,560
"2022-11-27",0,0,4,8,1,0,1,0,0,0,6,0,600
"2022-11-28",0,0,3,5,2,0,0,0,0,0,4,0,590
"2022-11-29",2,0,3,5,2,0,0,0,0,0,7,0,480
"2022-11-30",0,0,3,6,1,0,7,0,1,0,6,0,500
"2022-12-01",0,0,1,5,2,0,0,0,0,0,12,0,560
"2022-12-02",0,1,1,6,1,0,2,0,0,0,23,0,650
"2022-12-03",0,1,1,3,1,0,8,0,0,0,8,0,510
"2022-12-04",1,0,5,6,2,0,1,0,0,0,7,0,550
"2022-12-05",0,1,2,8,6,0,9,0,1,0,18,0,540
"2022-12-06",0,0,5,5,1,0,5,0,0,0,8,61,510
"2022-12-07",0,0,6,4,8,0,14,0,0,0,21,0,540
"2022-12-08",0,0,2,2,2,0,2,0,0,1,2,0,340
"2022-12-09",0,0,0,1,1,0,0,0,0,0,3,0,310
"2022-12-10",0,0,3,5,1,2,0,0,0,3,4,0,370
"2022-12-11",0,0,2,3,1,0,10,0,0,0,5,0,380
"2022-12-12",0,0,24,8,1,0,4,0,0,2,4,0,620
"2022-12-13",0,0,0,2,2,7,0,0,0,1,5,0,500
"2022-12-14",0,0,4,7,0,0,0,0,0,1,13,0,740
"2022-12-15",0,0,5,9,12,2,27,0,0,1,1,0,590
"2022-12-16",0,0,5,6,3,4,4,0,0,0,0,0,680
"2022-12-17",0,0,5,6,1,0,0,0,0,2,14,61,420
"2022-12-18",0,0,2,5,1,0,1,0,0,0,2,0,590
"2022-12-19",0,0,1,6,5,0,8,0,1,1,13,0,520
"2022-12-20",0,2,7,5,7,0,23,0,0,2,7,0,430
"2022-12-21",1,1,7,5,12,2,8,0,0,1,9,0,510
"2022-12-22",1,0,0,2,6,1,5,0,0,0,7,0,660
"2022-12-23",0,0,3,5,6,1,5,0,0,0,7,0,550
"2022-12-24",0,0,1,8,4,4,8,0,0,0,5,0,480
"2022-12-25",0,0,5,16,3,0,0,0,0,0,8,0,620
"2022-12-26",0,0,5,7,5,0,1,0,0,0,12,0,550
"2022-12-27",0,0,0,7,2,0,0,0,0,1,5,0,620
"2022-12-28",0,0,1,13,1,0,0,0,0,0,8,0,550
"2022-12-29",0,1,1,10,5,5,10,0,0,0,15,0,790
"2022-12-30",0,0,8,12,6,0,23,0,0,1,8,58,690
"2022-12-31",0,1,3,16,6,0,6,0,1,0,24,0,710
"2023-01-01",0,0,2,9,5,0,46,0,0,1,13,12,760
"2023-01-02",0,0,0,9,6,0,44,0,0,0,5,0,720
"2023-01-03",0,1,5,7,6,1,3,0,1,0,10,0,750
"2023-01-04",0,0,2,6,6,0,3,0,1,0,10,0,720
"2023-01-05",1,1,3,2,12,2,2,0,0,1,14,0,810
"2023-01-06",1,1,23,16,8,5,0,0,0,0,38,0,530
"2023-01-07",0,0,2,1,3,0,0,0,2,0,1,0,490
"2023-01-08",0,0,3,5,3,0,5,0,0,1,3,0,430
"2023-01-09",0,3,11,17,4,3,7,0,0,0,8,0,590
"2023-01-10",0,0,4,7,4,0,4,1,0,0,8,0,710
"2023-01-11",0,0,10,5,5,3,2,0,0,1,9,0,490
"2023-01-12",0,1,0,0,4,0,3,0,1,0,0,0,430
"2023-01-13",1,0,4,8,4,0,0,0,0,0,7,0,740
"2023-01-14",0,0,6,6,4,0,2,0,1,2,13,0,530
"2023-01-15",0,0,2,10,4,0,5,0,0,1,0,26,630
"2023-01-16",0,0,12,21,5,1,0,0,1,3,24,0,790
"2023-01-17",0,0,3,11,5,3,0,0,0,0,7,0,870
"2023-01-18",1,0,9,0,4,1,4,0,0,0,12,0,820
"2023-01-19",0,1,6,20,14,0,6,0,0,0,7,0,760
"2023-01-20",0,0,3,6,7,0,4,0,0,0,7,0,770
"2023-01-21",0,0,1,15,6,1,5,0,0,3,15,0,860
"2023-01-22",0,0,5,12,9,2,1,0,0,0,14,0,600
"2023-01-23",0,0,5,8,2,2,2,1,0,0,4,0,720
"2023-01-24",2,4,2,8,2,1,3,0,0,1,8,0,690
"2023-01-25",1,0,9,23,6,2,5,0,0,0,23,0,910
"2023-01-26",2,1,14,27,15,2,6,0,0,1,19,0,780
"2023-01-27",0,1,7,6,11,0,33,0,1,4,15,47,850
"2023-01-28",1,1,7,4,8,1,6,0,0,0,26,0,800
"2023-01-29",0,0,8,22,7,0,0,0,0,0,10,0,650
